Grievance,RepliedGrievance
"I paid the fees but not able to get receipt and it showing pending please check the transaction details, i request to please solve 
Best Regards",Please check after sometimes.
TODAY RECIVED LEAVING CERTIFICATE,upload documents
Karanja,?
Karanja,.
"Hi,
Application part 2 not showing on the dashboard.. Please do the needful.",working on that please check after sometime
I have paid fee amount but after two hours also showing pending fee payment,Please check after sometimes.
Part II-College Preference part is not available,We are already working on that kindly verify/check after sometime
fyjc admission,Please check after sometimes.
where is                 application form part 2 ?,"Our team is working on that,
Lock the first form then you can able to see second form still facing any problem provide screenshot and check after sometime"
APPLICATION IS SUCCEFULLY DONE BY UPI APP BUT THET SHOW UNSUCCESFUL ON THE PORTAL AND MONEY DEBITED BY ACCOUNT,Kindly verify/check after sometime
APPLICATION IS SUCCEFULLY DONE BY UPI APP BUT THET SHOW UNSUCCESFUL ON THE PORTAL AND MONEY DEBITED BY ACCOUNT,We are already working on that kindly verify/check after sometime.
APPLICATION IS SUCCEFULLY DONE BY UPI APP BUT THET SHOW UNSUCCESFUL ON THE PORTAL AND MONEY DEBITED BY ACCOUNT,Please verify/check after sometime.
"I paid fees using UPI mode and payment is also deducted from my side but payment is remaining to done in form  this is collecting ID AIR1QZscVf6SMb2AXAT0465983721QPAY02 

And this is UTR  514713526417
And this is transaction ID T2505271332040382805037 

Payment amount: 102.36
Date of payment: 27/May/2025 13:32:08
Mode of payment: UPI
UTR number: 514713526417
1:34",Please check after sometimes.
THERE IS NO PART 2 APPLICATION ON MY DASHBOARD,Kindly check after 7 PM
unable to see or access part II on the portal,Kindly check after 7 PM
My form no 2 not open,Please provide screenshot
I can't select college there no option,We are updating. Please check after sometimes.
"Amount paid, but payment not yet confirmed",Kindly check after sometime
PAYMENT DEDUCTED FROM ACCOUNT BUT PAYMENT NOT SHOW SUCESS,Please check after sometimes.
Please start Early,Please check tomorrow.
I have no specific grievance,Thank You
Payment successfully debited from bank account but showing pending on admission website,Kindly check after sometime
I am not able to make college preference I am not getting that option,Kindly check after sometime
I have Full form fill up but not submit form please check this attached photo,kindly check after sometime
Form shows incomplete says registration details incomplete. I have completed everything in registration section but the page is inactive. I have called your call centre as well as emailed by there is no update please check urgently,"Please ensure you have filled all mandatory fields before locking the form. Once you successfully lock your Part I form, the status will automatically update to 'Completed'."
Not able to see part 2 form I've filled both the forms part 1 and 2 but only part 1 is showing to print,We are already working on that kindly verify/check after sometime.
"Tejal Madhav Kurhe Login Id No D0865639750 
Lock Application Erro","Please ensure you have filled all mandatory fields before locking the form. Once you successfully lock your Part I form, the status will automatically update to 'Completed'."
part 2 form is not visible,Kindly verify/check after sometime
"Dear Sir/Madam,
I cant see link for Application Form (Part-2). When it will be activated?",Kindly check after sometime
My correct roll number is 15136112and in form it is showing 151361112. How to change it please guide me,"We need your consent to change your roll number. Kindly share your details likes name, register mobile number, login id/application number, mail id, seat number and 10th marksheet and also Write a letter, mention your issue with your signature and attach 10th marksheet in grievance. Write grievance immediately."
Part-2 is not visible . I have selected the colleges but now i am not able to see part-2.,"Problem is resolved now, please try gain."
Part 1 is filled but part 2 is not accessible,Kindly verify/check after sometime
not able to lock,Kindly verify/check after sometime
CAP option Form,Kindly verify/check after sometime
my payment is successful but it is not reflecting in the payments page.,Kindly check after sometime
PAYMENT PAID TWO TIMES BUT NOT REFLECT IN APPLICATION,Check after 4 or 24 hours for bank reconciliation
"After Login and Completing Part one , PART II not Available for Selection",Kindly verify/check after sometime
option disable to Select admission through Inhouse Quota,Kindly verify/check after sometime
Actully i have done payment but there is no seen,Kindly check after sometime
Want admission to 11th class,You have to fill up the application form on this website https://mahafyjcadmissions.in
I have locked my part I application form. But part II is not getting visible. I cannot select colleges and save my choices.,"Already solved that issue, even if you are facing any problem provide screenshot"
Part2 of form is not coming in left side menubar,Please check again after some time
The Following VPA I have made Payment Twice But Still its Showing Pending,You will get you payment back except one within 7 working days.
"UPI transaction Id - 514714981939
Plzz solve my issue there is not showing the receipt",Kindly check after 3 to 4 hour
"I have done payment but can’t proceed so please confirm my transaction and forward option will be released in form 

Clear all errors in my form",Kindly check after sometimes
"Dear Sir/ Ma'am, 
Due to unknown reason, I'm not able to see the section ""Application Form (Part 2)"" in the menu, at left side top corner and thus unable to proceed further. Could you pls help me enabling the part 2 option, pls?",This issues is solve please Just relog Your account
"unable to lock registration form
showing registration details not field",Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Just refresh you dashboard and check internet connection.
"The Payment page is not going through, see error image attached.
Also the two payments done on 26May2025 are not confirmed yet. 
A grievance GRVAPL1 was already raised for the same.",please check after Sometime
i paid fees online but they are showing again to pay,Kindly check after sometimes
Fee is paidon 26 may But still it is not reflected in the form,Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Just refresh you dashboard and check internet connection.
"Application fee is deducted from our side, but the server is showing that the payment is pending. And we are also not getting the option to move ahead .",Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Just refresh you dashboard and check internet connection.
"I already paid 100 rs bt it is not showing, i have transaction ID and everything, kindly look into it.",Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Just refresh you dashboard and check internet connection.
Faced glitches with Part II yesterday in college list selection. Today the option for filling Part II is not showing at all.,"Now part II is available, please log in to fill the form."
"I have made payment through Google Pay.. upi transaction id is - 514714435370

google transaction id - CICAgKi4y-e4HQ

But playment is not reflected",Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Just refresh you dashboard and check internet connection.
Payment has been debited from account but not reflecting,Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Just refresh you dashboard and check internet connection
yesterday i fill part 1 form completely and i had also pay the amount and lock and self verified the form. later i stared to fill part 2 form to filling but it doesn't shows the the option for application part 2,"Now part II is available, please log in to fill the form."
i have filling part 1 in application form  1  but i cant felling 2 part because not showing collage selection part 2.,"Now part II is available, please log in to fill the form."
college option form not show,"Now part II is available, please log in to fill the form."
Part 2 link in left menu is missing. Very pathetically build site.,"Now part II is available, please log in to fill the form."
"Hi , we have completed the registration process on dated 26th May-2025, till yesterday CAP option ( collection selection) option visible, but today morning we are not able to view the CAP option. Kindly check and confirm","Now part II is available, please log in to fill the form."
"I have only saved the 10 choices of colleges. However, I am not finding any details of the saved college preferences. I have taken screenshot of the saved colleges data but am not able to retrieve the saved data. Also there is no option of SUBMIT button after the 10 preferred colleges data is saved. Please refer to the word document in which i have captured the 10 saved colleges data.","Now part II is available, please log in to fill the form."
Part I form is filled and lock application is done but the second part is not visible. how to fill the same????,"Now part II is available, please log in to fill the form."
we have made the payment it is not reflecting,Kindly check after sometimes
"Payment succesful but show pay again
Check screenshot",Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Just refresh you dashboard and check internet connection.
"We have submitted Part I & locked the form , however we are not able to see Part II","Now part II is available, please log in to fill the form."
"CAP Option Form is not visible, only Application Form is visible on the site currently.","Now part II is available, please log in to fill the form."
2nd part of admition not showing,"Now part II is available, please log in to fill the form."
Part 2 of form not showing...,"Now part II is available, please log in to fill the form."
part2 is not visible,"Now part II is available, please log in to fill the form."
BY MISTAKE I LOCKED MY APPLICATION FORM WITHOUT SELECTING MY PREFERRED COLLEGES.  PLEASE HELP ME IN UNLOCKING THE APPLICATION FORM SO THAT I CAN ATTACH MY PREFERED COLLEGE.,Just relog Your account and unlock your form the option will be editable.
Form Part 2.. not showing,"Now part II is available, please log in to fill the form."
Form Part 2.. not showing,"Now part II is available, please log in to fill the form."
"I have been trying to access the part 2 form for nearly 2 days but it is not displaying on my screen.
Once it opened and when I went to lock the form, the site crashed and then I am not able to see it again. Please help me with this problem","Now part II is available, please log in to fill the form."
"Hi Team, there seems to be some glitch in the website , i am not getting an option to select the college name. I have completed my application form, but i am not able to proceed to the next section where the college name appears, Kindly look into this at the earliest","Now part II is available, please log in to fill the form."
not able to see CAP filling option,please provide the screenshot
Part2 not seeing,"Now part II is available, please log in to fill the form."
I have filled the paper 2 of the form and saved it but it it not visible and I am not able to lock it.,"Now part II is available, please log in to fill the form."
"Payment deducted for my account, but application payment is pending.  My UTR NO 514713836564
plz accept the payment and give mi open the next tab.",Kindly check after sometimes
amount for admissions form is been deducted but its it not displayed and not showing confirm why,Kindly check after sometime
today no CAP part 2 option is showing in dashboard,"Now part II is available, please log in to fill the form."
I can't fill in part 2,"Now part II is available, please log in to fill the form."
Cannot continue the application form as part 2 for preference selection is not visible,"Now part II is available, please log in to fill the form."
part 2 not display,"Now part II is available, please log in to fill the form."
PART 2 IS NOT VIEW,Please check after sometimes.
PLEASE ALLOW ME TO UP0LOAD MY FATHERS CASTE CERTIFICATE.  I BELONG TO OBC CATAGORY.  BUT FAILED TO ATTACH HIS CASTE CERTIFICATE AS I DO NOT HAVE ONE.,kindly upload your original document.
after locking part 1 form part 2 is not shown on display,"We are already working on that kindly verify/check after sometime.
To access Part 2 and select your college preferences, please ensure you have first locked your Part 1 form. After locking Part 1, refresh the page or log in again to proceed to Part 2."
PART2 Form Filling not visible for me,Kindly check after sometime
"CAP round section or part 2 section is not working, its only showing part 1, and this website is not working at all",Our team is on that we'll get back to you soon check after sometime
after completing and finishing my part 1 i am  unable to find the option of part 2 even i tried logging out,"We are already working on that kindly verify/check after sometime. 
To access Part 2 and select your college preferences, please ensure you have first locked your Part 1 form. After locking Part 1, refresh the page or log in again to proceed to Part 2."
my part2 form is not visible even though I have filled it and now I cannot edit it or unlock it,Kindly check after sometime
Payment Done through UPI but till not update on website.,Kindly check after 1 PM
"TUSHAR LAHU BHOYE
LOGIN ID :- D0727436730
मा. सर माझ्या लॉगीन ID वरून PAYMENT हे DONE झाले आहे परंतु पुन्हा PAYMENT साठी येऊ राहिले आहे 
सोबत पावती जोडली आहे",Please check tomorrow.
PAYMENT PAID BUT PAYMENT STATUS  STILL PENDING,Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Just refresh you dashboard and check internet connection.
Form Part -II  is not opening or not appearing,"To access Part 2 and select your college preferences, please ensure you have first locked your Part 1 form. After locking Part 1, refresh the page or log in again to proceed to Part 2."
"I have made the payment 2 times,Payment has been deducted from my bank, please refund my money",You will get your refund within 7 working days
"I had submitreed 100 rupees as well as I had even locked tyhe form what should i do next in order to fill it and select the colleg
e",Go to the Part 2 and select your college preferences.
i want my part 2 form back so can get it back because i have not field the form,We are already working on that kindly verify/check after sometime
part 2 not available in portal. collage prefernce not complete .please availbale option part .,We are already working on that kindly verify/check after sometime
"Part 1 locked, but for filling up part 2, it is not showing in list.
It show only part 1 and Mis...","We are already working on that kindly verify/check after sometime. 
To access Part 2 and select your college preferences, please ensure you have first locked your Part 1 form. After locking Part 1, refresh the page or log in again to proceed to Part 2."
part 2 not showing,"We are already working on that kindly verify/check after sometime, 
To access Part 2 and select your college preferences, please ensure you have first locked your Part 1 form. After locking Part 1, refresh the page or log in again to proceed to Part 2."
"Dear Sir, Cap filling form Part -II not displayed in my dashboard, kinldy do the needful earliest","We are already working on that kindly verify/check after sometime. 
To access Part 2 and select your college preferences, please ensure you have first locked your Part 1 form. After locking Part 1, refresh the page or log in again to proceed to Part 2."
I had completed part - I but part-II not displaying. My son's friends have completed this part II. Screenshot attached. Request you to look into this at the earliest.,Kindly check after 7 PM
Yesterday evening could not able to add college in part-II and now unable to see Application Form (Part-II) in sight,Kindly check after 7 PM
how to resolve the date,We get data from board
.,Okay
PAYMENT NOT REFLECTED BUT DEDUCT FROM ACCOUNT,Please verify/check after sometime.
No problem,Thankyou for Grievance
Collage,?
option for not open,This issues is solve please Just relog Your account
I am unable to see part-2 for college selection and other.,Kindly check after sometime
payment done but still payment is not confirmed,please check tomorrow.
Part 2 of the the admission form is not visible on the dashboard,kindly check after sometime
"Respected Sir/ Madam, 

I, Aditya Sanjay Jaiswal,had filled and submitted my CAP part 2 form for FYJC admission through the portal. However, due to an oversight, I added only one college preference ( B.N.N  College) and locked the form without including other colleges.

I now understand that including Multiple Preferences is crucial to avoid non- allotment of limited options.As a result. I request you to kindly unlock my CAP Part 2 form so I can add more college options 

Here are my details for your reference: 
Student Name:- Aditya Sanjay Jaiswal 
Application ID:- A1008164346
Registered Mobile Number: 9730815318
Board :- SSC 
Region:- Bhiwandi 

Kindly help me in rectifying this mistake as soon as possible. I shall be grateful for your assistance 

Thanking you,

Your sincerely 
Aditya Sanjay Jaiswal 
9730815318
sj013297@gmail.com",We are already working on that kindly verify/check after sometime.
not showing application form part 2 for selecting college,Kindly verify/check after sometime
Payment pay by upi but in profile payment not recived,kindly check after sometime
part 2 option is not there,kindly check after sometime
part 2 option is not there,Kindly verify/check after sometime
part 2 option is not there,We are already working on that kindly verify/check after sometime.
part 2 option is not there,"Now part II is available, please log in to fill the form."
part 2 option is not there,Kindly verify/check after sometime
Part 2 form (college selection) not being displayed,Kindly check after sometime
transaction id T2505271441169620249921,Kindly check after sometime
"Dear Team 

My First payment is Done but not reflected in System but same other payment after 1 hours second payment is Done and accept 

Please Refund my Amount",You will get refund within 7 working days
"Hello,
Yesterday, I have paid my admission processing fee using UPI payment method and amount was deducted from my account, but still it shows admission fee is pending. Due to this issue I'm unable to complete my application and cap round process.
I want to know why this was happened and when it will be resolved to complete the remaining process.
I have attached my payemt transcation details for your reference.
I'm requesting you to resolve this issue ASAP and I'm wating for further update.",Kindly check after sometime
Nothing here to give grievence about,Thank You
sir  i application fee paid using UPI payment debit in my bank account but application show fee not paid. so pleas help me,you will get back between 4 to 7 working days.
From morning i am not able to see Part II in my login to select college.,"Now part II is available, please log in to fill the form."
I LOCKED APPLICATION  FORM BUT PART II NOT OPEN  TILL NOW,"Now part II is available, please log in to fill the form."
payment getway shows message validate,Kindly check after sometime
I made the payment via upi vide transaction id 514714730538 on 27.05.2025 02:36pm it tried and given message as time out after payment. Payment has been deducted from my account but it is showing pending in application,Kindly check after sometimes
Payment of 102.36 made twice but its not showing,Kindly verify/check after sometime
Paid twice for Application form. In second payment it's done and proceeded ahead. I request to refund one payment.,Kindly check after sometimes
"Dear Sir,

I have filled the Part I of application form But the option of Part II of application form is not available to me. Screenshot is attached for your reference.
Please do the needful","Now part II is available, please log in to fill the form."
Pls I Want To Show My Dashboard To Log In College Choosing Option Immediately,"Now part II is available, please log in to fill the form."
"Request you to cheak , part 2 not shown after login , how are fiilup all details.","Now part II is available, please log in to fill the form."
Pls Show In Login To Dashboard In College Choosing Option Immediately,"Now part II is available, please log in to fill the form."
Part 2 not displayed,"Now part II is available, please log in to fill the form."
There is no tab/button to fill the name of college.,"Now part II is available, please log in to fill the form."
Option form /Cap form filling option not showing on dashboard.,please provide the screenshot
"Hi team , I have paid my registration fees & it's has been deducted from my bank account as well but on site it's still showing me as registration fee is pending. I am attaching screen shot of deducted fees sms",Kindly check after sometimes
"Yesterday the option form was visible to portal but when I tried yesterday filling part -2 form ,many problems occured like when I was adding more than one college from my district then ""Choice code not matched"" error was coming and choices were not saved due to that reason . Also when adding another college ,same colleges have be seen in selected preferences . 
But now today when I open my dashboard ,the ""Option Form"" option is disappeared from my portal.",This issues is solve please Just relog Your account
I have paid registration fees but it is saying pending for more than 1 hour.,Kindly check after sometimes
"""Part 2 is not visible in the menu bar.""",Kindly check after 3 to 4 hour
"Already locked form and multiples times logged in /logged out done, still the part-2 is not appearing","Now part II is available, please log in to fill the form."
I have completed my part 1 form and i am not able to proceeed to the part 2 of the application form...,"Now part II is available, please log in to fill the form."
part 2 of option form is not availaible,"Now part II is available, please log in to fill the form."
"Hi team , I have paid my registration fees & it's has been deducted from my bank account as well but on site it's still showing me as registration fee is pending. I am attaching screen shot of deducted fees sms",Kindly check after sometimes
Image for previous grievance,"Now part II is available, please log in to fill the form."
Image for previous grievance,"Now part II is available, please log in to fill the form."
"Team 

CAP Round Part II Not Showing , Pls Guide Us","Now part II is available, please log in to fill the form."
CAP round part 2 not showing,"Now part II is available, please log in to fill the form."
"Hi 

I was filling the college details . I could only fill 6 to 7 college datils then the some technical error happened from website . No I am trying to do  the  Form (Part - II) is not showing on the dashboard","Now part II is available, please log in to fill the form."
Part two of the Application form is not there???,"Now part II is available, please log in to fill the form."
"MADHYMIK VIDYALAYA &JR.COLLEGE,GHOTAWADE TAL-PANHALA DIST-KOLHAPUR
UDISE NO-27340205003","Now part II is available, please log in to fill the form."
"Kum.Vedeeka Padmaakr Kale User Login ID A0652706589 Part I Verified /But Part II not Shown in Login ID Portal, 
 Please resolve this issue.","Now part II is available, please log in to fill the form."
Kindly Check attachment payment done on google pay but in login still show make payment,kindly check after 2 to 3 hour
Option/Choice Form (Part - II) not available on portal. Please solve the issue.,"Now part II is available, please log in to fill the form."
Application Form Part 2 not showing after completing Part 1,"Now part II is available, please log in to fill the form."
Unable to complete my part 2,"Our team is working on that,
Lock the first form then you can able to see second form still facing any problem provide screenshot and check after sometime"
no option of PART 2 filling,"Now part II is available, please log in to fill the form."
"My Part I application is completed and I had paid fees, but there is not working of Part II option for selection of colleges in this login ID. So please look into the matter seriously and resolve as early as possible.","Now part II is available, please log in to fill the form."
PAYMENT COMPLITED BUT STATUS IS PENDING,Kindly check after sometimes
Application Form (Part-II) not appearing properly and not able to add 10 colleges as per requirement since yesterday,"Now part II is available, please log in to fill the form."
Can't open part 2 form. It is not showing option of part 2,"Now part II is available, please log in to fill the form."
"R/sir
I complete my 11th Registration Form PART 1 with 100 Rs. Fees and Lock the Part I
But
Part 2 is not available in my form 
Plesae help me.","Now part II is available, please log in to fill the form."
Part B form not appearing in portal,"Now part II is available, please log in to fill the form."
I am not able to see the option for part II  as it is already started,"Now part II is available, please log in to fill the form."
"Dear Team,
Despite of all the details filled up, unable to lock the form.",Kindly ensure all mandatory fields are filled and documents uploaded. just refresh your Dashboard and check internet connection
THERE IS NO ICON PART II .What is problem .Yesterday it was there.,"Now part II is available, please log in to fill the form."
option form 2 is not opning,"Now part II is available, please log in to fill the form."
Now application locked but college preference  form (Application  form Part II) not showing,"Now part II is available, please log in to fill the form."
As the payment is debited from account bt still shows due to non activity transactions,Kindly check after sometimes
payment pendig,Kindly check after sometimes
"Already Paid Admission Processing Fee Still show Pending , I have Paid Amount vai UPI Id after i paid amount  page loaded till timeout then its timeout error",Kindly check after sometimes
"C0842774765  
Paymern Is Doen But Not Confirmed",Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Just refresh you dashboard and check internet connection.
"There is problem regarding my application form fees I have paid the amount of 102.36 rs but it still showing that application is pending I tried the various options given in there but all those options are not working I'm stucked in that process please check and advise accordingly.

Thanks
Vibha.",Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Just refresh you dashboard and check internet connection.
on dashboard there is option to fill Application Form (Part-II),"Now part II is available, please log in to fill the form."
"I filled my part I form, but Part II form is not showing here.","Now part II is available, please log in to fill the form."
I have made a payment of admission fee of Rs. 102.36/- on 27/05/2025 at 01:07PM. But still it is showing that fee is pending. I have attached a payment screenshot for your reference. Please resolve this issue.,Kindly check after sometimes
"Morning Form Part-2 was active but by 12.30, error started coming and then Part-2 is not visible","Now part II is available, please log in to fill the form."
"I have filled out Part 1 of the form completely and am also showing self-verification, but since Part 2 is not showing, I am not getting college preference, so my form is incomplete.","Now part II is available, please log in to fill the form."
PLEASE SOLVE THIS ISSUE ASAP.,"Now part II is available, please log in to fill the form."
UTR NO AND TRANSACTION ID INTO SLIP WHICH I ATTACHED HERE,Kindly check after 3 to 4 hour
The form fee has been paid and the amount has been deducted from the account but the admission form is showing as pending on the profile and the account statement is attached along with the transaction ID.,Kindly check after sometimes
CAP option form not visible again,Kindly verify/check after sometime
I have paid the fee Rs.100 on dated 27/05/2025 time 03:04pm but login not shows fee paid.,Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Just refresh you dashboard and check internet connection.
I already filed Part - I but my part -II for option not seen in the login,"Now part II is available, please log in to fill the form."
We have only saved 1 option for college and not submitted the form. Now when we tried to select the other colleges unable to see part 2 options.,"Now part II is available, please log in to fill the form."
"Part 2 ia not available, despite Part 1 completion","Already solved, even if you are facing any problem provide screenshot"
"Part 2 ia not available, despite Part 1 completion","Already solved, even if you are facing any problem provide screenshot"
Part 2 Option is Not Visible Please Solve The Problem,"Now part II is available, please log in to fill the form."
The part two of the form is not visible to me due to which I am unable to select the colleges for admission,"Now part II is available, please log in to fill the form."
I've filled up and locked the Application Form (Part - I) But Part-II is not visible.,"Now part II is available, please log in to fill the form."
I have Complete Part I But Part II Not show Pls help,Kindly check after sometime
"I have trying , complete all from , but part 2 not showing in dashbord plese solve my problem. as soon as fast.","Now part II is available, please log in to fill the form."
I have locked Part 1 of my application but still not able to fill part 2,"Now part II is available, please log in to fill the form."
PART II OF APPLICATION IS NOT VISIBLE IN THE ACCOUNT,"Now part II is available, please log in to fill the form."
The part two form is now not available.  Please advice.,"Now part II is available, please log in to fill the form."
The user has completed Part I application form and successfully locked and paid the fee. Please enable the Part II form on Website for selection the colleges and further necessary actions,"Now part II is available, please log in to fill the form."
Dear Sir I was Applied but there is no Option for option form.,"Now part II is available, please log in to fill the form."
I AM SAJIDA YASIN MULLA DONE MY PAYMENT THROUGH UPI I HERE UPLOADING GPAY TRANSACITON RECEIPT PLEASE SOLVE MY PROBLEM FOR FORM PROCESS,Your payment is success Just relog Your account refresh the dashboard
Part 1 is already self verified but we are still unable to access part 2,"Now part II is available, please log in to fill the form."
Part 1 is already self verified but we are still unable to access part 2,"Now part II is available, please log in to fill the form."
How to fill form as it is not showing form 2 option to me I'm trying from morning,"Now part II is available, please log in to fill the form."
"we are facing an issue. We are not given the option of form 2 after filling the part 1, The part 1 is self verified.  Guide us to take the next step or any issue that we are facing","Now part II is available, please log in to fill the form."
I cant see part 2 in dashboard,"Now part II is available, please log in to fill the form."
"Dear Sir,
Yesterday payment done by us but still paymnet confirmation showing pending. i was paid registrion fee on 02.05 pm sharp. but still confimation is pending by your system. So how can i lock and submit my registration form.and also i can try another payment to tick on validate, it can't proceed to further. i am fade from yesterday
Please help me out this error and solve my issue soon
Kindly check attched my payment detail for your reference",Kindly check after sometimes
"No 152028749842
PARAS Mahadhaval Gandhi.",RAMSHA SHAHABUDDIN KHAN
"So as I logged in the part 2 form option wasn't there this directing to write a grievance 
I hope u fix this error as soon as I possible 
Sorry for taking ur time","Now part II is available, please log in to fill the form."
"So as I logged in the part 2 form option wasn't there this directing to write a grievance 
I hope u fix this error as soon as I possible 
Sorry for taking ur time","Now part II is available, please log in to fill the form."
Application form Part 2 option not showing,"Now part II is available, please log in to fill the form."
part 2,Kindly check after sometime
I have already paid the registration fees for fyjc admission form but still it isn't showing the confirmation on website so please look into the matter and do the needful,Please check after sometimes.
Part 2 Form is not available to fill. Please make Form 2 available at the earliest.,We are already working on that kindly verify/check after sometime.
I have paid the form fee still its asking me the amount please do the needful ASAP,kindly verify/check after sometime.
Payment deducted from account but not success.,Please verify/check after sometime.
Ammount is debited by my account but the payment status is incomplet.,Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Just refresh you dashboard and check internet connection.
Payment successful but not showing,Please check after sometimes.
I have done upi payment and amt has been deducted to my account.,"Ok, Please check after sometime or tomorrow."
"I have filled 2 colleges in part II and saved the form, now I am not able to view the Part II section.",kindly check after sometime
"CAP , preferences for colleges option which was available yesterday is not showing up , while logged in. Please do the needful.

Thanks, Rama Kshirsagar",kindly check after sometime
CAP Round 1 form is not available on the Portal,kindly check after sometime
admition,N/A
Part 2 is not enable,"We are already working on that kindly verify/check after sometime. To access Part 2 and select your college preferences, please ensure you have first locked your Part 1 form. After locking Part 1, refresh the page or log in again to proceed to Part 2."
Part II form not open even after part I form locked.,Kindly verify/check after sometime
"Subject: CAP Round Option Not Visible After Locking Form

Message: I have locked my application, but the CAP option is not visible. Also, my 10th LC is pending, and I have uploaded the undertaking. Kindly look into the issue and enable the CAP round access for me.",This issues is solve please Just relog Your account
Unable to fill part 2 form as its not visible on drop list,kindly check after sometime
No option for Quota form was available even after selecting In house quota now the part II is locked and now unable to access even CAP pls make inhouse quota form available,kindly check after sometime
Payment Done Not Display,Please check after sometimes.
The sample form when tried to download is not available on the link and therefore can't get access to form.,Please relog Your account and try again.
"Hello,

Please note that the CAP Option Form section (Part-II) is currently not visible in the portal. Request you to kindly look into this and advise on the next steps.

Thank you,",kindly check after sometime
Payment has been deducted but the form has not been deposited. Please cooperate.,We are already working on that kindly verify/check after sometime.
System gives error when trying to unlock the application form,Please check after sometimes.
My Payment was sucessfull but online Form seen status is pending status.... Please Approve Payment and resolve this Grievance sir,Please check after sometimes.
कॉलेज,Please provide Screenshot
I cannot find the form part ll,This issues is solve please Just relog Your account
"I didn't find a cap option I try several times but the result is not sufficient on different tabs,phones,laptop,pc.so please fix it",This issues is solve please Just relog Your account
part 2 application not show,Kindly check after sometime
I selected outside maharashtra instead of in Maharashtra and I am unable to edit it now.,Unlock application form
I selected outside maharashtra instead of in Maharashtra and I am unable to edit it now.,unlock application form
I have paid admission processing fee but still my fee payment is pending. kindly help me with this issue,Please check tomorrow.
PAYMENT IS DONE  PLZ CHK AND DO THE NEED FULL     AGAIN ASKING FOR PAYMENT,Kindly check after sometime
Can see part B of college selection vanished,This issues is solve please Just relog Your account
transection successful but payment is processing status,Kindly check after sometime
"Respected Sir/Madam,

I am writing to kindly request the unlocking of the form related to college selection. I have realized that I need to choose/add more colleges to my list, but currently, the form is locked and does not allow any further edits.

I sincerely request you to grant me access or reopen the form so that I can update my preferences accordingly. I assure you that I will complete the changes within the provided time frame.

I would be very grateful for your kind consideration and support in this matter.",We are already working on that kindly verify/check after sometime.
After login Part 2 option is not showing to select colleges.,Please check after an hour.
"Hi Team, I have incorrectly submitted the form without uploading documents and then tried to unlock so some details got deleted , so kindly reset the form so that i can refill and submit.
Thanks 
7738500644","Kindly you should unlock your form, refill your correct details and submit again.  Thankyou."
Registration fee link not working properly. Please fix it,Kindly check after sometime
Payment not Validate for application no 151563919165. Payment done  through Google.,Kindly verify/check after sometime
"Hi,
I am not able to see application form part 2 in my login, i have locked the part 1, but not able to see part 2.
Name - Asmi Pravin Vaje
 Form number - 71068390",Kindly check after sometime
"Subject: Processing Fee Paid but Status Showing as Pending for FYJC 11th Admission

Respected Sir/Madam,

I am Gorav Dhumal, and I have applied for admission to FYJC (11th Standard) through the official admission portal. I would like to bring to your kind attention that I have successfully paid the processing fee of Rs. [amount] on [date] via [mode of payment – UPI/Net Banking/Card/etc.], and the payment was successfully debited from my account. However, the admission portal is still showing the fee status as ""Pending.""",Kindly check after sometime
Payment not done,Kindly check after sometimes
Transaction Id  T2505271240359936482811,Kindly check after sometime
PAYMENT DONE BUT NOT REFLECTING ON WEBSITE,Kindly check after sometime
"I WANT TO CHANGE THE CATEGORY IN APPLICATION FORM PART 1,BUT ITS NOT UNLOCKING.IT IS SAYING FIRST UNLOCK FORM 2..BUT FORM 2 IS NOT SHOWING ON THE PORTAL",This issues is solve please Just relog Your account
"I WANT TO CHANGE THE CATEGORY IN APPLICATION FORM PART 1,BUT ITS NOT UNLOCKING.IT IS SAYING FIRST UNLOCK FORM 2..BUT FORM 2 IS NOT SHOWING ON THE PORTAL",This issues is solve please Just relog Your account
I paid the required amount of money for the application but the application is still incomplete . It is showing that due to incomplete transaction of Rs 102 application form is incomplete. So I request you to please kindly look into it,Kindly check after sometime
"Respected Team,

I have completed filling of Part-I of the form but I am unable to see Part-II of the form in my login.  I am hence not able to select the colleges. Please help.  Thank you in advance.","Now part II is available, please log in to fill the form."
"After uploading all the documents, I paid the fees (Rs. 102.36) using Google Pay. Unfortunately, fees have been deducted from my account but still not showing in the application form.

Snap been attached for your ready reference.

Kindly look into it.",Kindly check after sometime
"Not able to see Part II for the college selection
Login ID: 152044744308
Student Name: Smit Mitesh Patel","Now part II is available, please log in to fill the form."
